Target gene (OFFICIAL_GENE_NAME)	TF (OFFICIAL_TF_CODING_GENE_NAME)	REFERENCES	SPECIES	ACCESSION #S
ANDPRO	AR	TRED	Rattus norvegicus	
AVP	AR	TRED	Homo sapiens	
C4A	AR	TRED	Mus musculus	
CA3	AR	Pubmed	Rattus norvegicus	6411140;11817565;
CALR	AR	Pubmed	Rattus norvegicus	11817565;
CAV1	AR	TRED	Mus musculus	
CDC6	AR	Pubmed	Homo sapiens;	18541154;
CDH2	AR	Pubmed	Homo sapiens;	17297473;
CFLAR	AR	Pubmed	Mus musculus;	16720717;
CHRM1	AR	Pubmed	Homo sapiens;	17624924;
DBI	AR	Pubmed	Homo sapiens;	8634149;
DCAF6	AR	Pubmed	Homo sapiens;	17984071;
DDT	AR	Pubmed	Homo sapiens;	17553165;
DHX15	AR	Pubmed	Homo sapiens;	11867260;
F9	AR	TRED	Homo sapiens	
FASN	AR	Pubmed	Homo sapiens;	15048993;
FKBP5	AR	Pubmed	Homo sapiens;	19433513;11867260;16210365;
FOS	AR	Pubmed	Homo sapiens;	14614224;
FOXA1	AR	TRED	Homo sapiens	
GSTP1	AR	TRED	Mus musculus	
GSTT2	AR	Pubmed	Homo sapiens;	17553165;
HIGD1A	AR	Pubmed	Homo sapiens;	11867260;
HSP90AA1	AR	Pubmed	Homo sapiens;	11867260;
IFNAR1	AR	TRED	Homo sapiens	
IGFBP5	AR	TRED	Homo sapiens	
IL6ST	AR	TRED	Homo sapiens	
JUN	AR	Pubmed	Homo sapiens;	14614224;
KIAA1217	AR	Pubmed	Homo sapiens;	17624924;
KLK2	AR	Pubmed	Homo sapiens;	1370633;7686046;
KLK3	AR	Pubmed	Homo sapiens;	7686046;11867260;17426252;17426252;
KLK4	AR	Pubmed	Homo sapiens;	10077646;
KRT18	AR	Pubmed	Homo sapiens;	11867260;
LHB	AR	Pubmed	Homo sapiens;	11518799;
MAOA	AR	pazar	Homo sapiens	
MT2A	AR	Pubmed	Rattus norvegicus	11191077;
NCOA2	AR	Pubmed	Homo sapiens;	17079484;
OAT	AR	Pubmed	Homo sapiens;	17553165;
PFKFB1	AR	Pubmed	Rattus norvegicus	168;
PGC	AR	Pubmed	Homo sapiens;	8663058;
PIGR	AR	TRED	Homo sapiens	
PMEPA1	AR	Pubmed	Homo sapiens;	10873380;17553164;
PNRC1	AR	TRED	Homo sapiens	
PRKCD	AR	Pubmed	Homo sapiens;	17553165;
PSAP	AR	Pubmed	Homo sapiens;	17171640;
PYCR1	AR	Pubmed	Homo sapiens;	17553165;
RARA	AR	TRED	Homo sapiens	
RUNX2	AR	Pubmed	Homo sapiens;	19389811;
SCAP	AR	Pubmed	Homo sapiens;	15133039;
SCNN1A	AR	Pubmed	Mus musculus;	16172422;
SLC22A2	AR	Pubmed	Rattus norvegicus	16550473;
SMS	AR	Pubmed	Homo sapiens;	15048993;
SNAI1	AR	Pubmed	Homo sapiens;	16541421;
SNAI2	AR	Pubmed	Homo sapiens;	16541421;
SRD5A2	AR	TRED	Mus musculus	
SREBF1	AR	Pubmed	Homo sapiens;	16541421;
SREBF2	AR	Pubmed	Homo sapiens;	16541421;
TRPV3	AR	Pubmed	Homo sapiens;	17553165;
UGT1A3	AR	Pubmed	Homo sapiens	18677463;
UGT1A	AR	Pubmed	Homo sapiens;	17297473;
WBSCR28	AR	Pubmed	Homo sapiens;	17624924;
IGH-VJ558	ARID3B	pazar	Mus musculus	
BHLHB2	ARNT	TRED	Homo sapiens	
CYP1A1	ARNT	TRED	Rattus norvegicus	
LEP	ARNT	TRED	Homo sapiens	
SENP2	ARNT	TRED	Mus musculus	
SUMO1	ARNT	TRED	Mus musculus	
TFRC	ARNT	TRED	Homo sapiens	
EBF3	ARX	pazar	Mus musculus	
LMO1	ARX	pazar	Mus musculus	
SHOX2	ARX	pazar	Mus musculus	
AQP3	ATF1	TRED	Homo sapiens	
BCL2	ATF1	TRED	Homo sapiens	
BRCA1	ATF1	TRED	Homo sapiens	
CALCA	ATF1	TRED	Homo sapiens	
CCL5	ATF1	TRED	Homo sapiens	
CCNA1	ATF1	trrd;TRED	Homo sapiens	
CD8A	ATF1	TRED	Homo sapiens	
CFTR	ATF1	TRED	Homo sapiens	
CGA	ATF1	TRED	Homo sapiens	
CHGA	ATF1	TRED	Homo sapiens	
CIITA	ATF1	TRED	Homo sapiens	
COPA	ATF1	TRED	Homo sapiens	
CYCS	ATF1	TRED	Rattus norvegicus	
CYP11B1	ATF1	TRED	Homo sapiens	
CYP11B2	ATF1	TRED	Homo sapiens	
ERBB2	ATF1	TRED	Homo sapiens	
FLT1	ATF1	TRED	Homo sapiens	
FOS	ATF1	TRED	Mus musculus	
GH2	ATF1	TRED	Homo sapiens	
HK2	ATF1	trrd;TRED	Rattus norvegicus	
HLA-G	ATF1	TRED	Homo sapiens	
HSPA5	ATF1	TRED	Mus musculus	
ID2	ATF1	TRED	Homo sapiens	
IL1B	ATF1	TRED	Homo sapiens	
IL6	ATF1	TRED	Homo sapiens	
INHBA	ATF1	TRED	Homo sapiens	
JUN	ATF1	TRED	Homo sapiens	
LDHA	ATF1	trrd;TRED	Homo sapiens; Mus musculus	
MYH10	ATF1	TRED	Homo sapiens	
NOS2	ATF1	TRED	Rattus norvegicus	
NT5E	ATF1	TRED	Homo sapiens	
NTS	ATF1	TRED	Homo sapiens	
PCNA	ATF1	trrd;TRED	Homo sapiens;Mus musculus	
PCSK1	ATF1	TRED	Homo sapiens	
PDHA2	ATF1	TRED	Mus musculus	
PLAUR	ATF1	TRED	Homo sapiens	
POLB	ATF1	TRED	Homo sapiens	
POLG2	ATF1	TRED	Homo sapiens	
PPP2R4	ATF1	TRED	Homo sapiens	
PTGS2	ATF1	TRED	Homo sapiens	
RB1	ATF1	TRED	Homo sapiens	
SLC19A1	ATF1	TRED	Homo sapiens	
SLC20A1	ATF1	TRED	Mus musculus	
SPRR3	ATF1	TRED	Homo sapiens	
SST	ATF1	TRED	Rattus norvegicus	
STAT3	ATF1	TRED	Mus musculus	
TAC1	ATF1	TRED	Rattus norvegicus	
TFRC	ATF1	TRED	Homo sapiens	
TG	ATF1	TRED	Homo sapiens	
TGFB2	ATF1	TRED	Homo sapiens	
TH	ATF1	TRED	Homo sapiens	
THBS1	ATF1	TRED	Mus musculus	
TNF	ATF1	TRED	Homo sapiens	
TOP2A	ATF1	TRED	Homo sapiens	
TRA@	ATF1	TRED	Mus musculus	
TRB@	ATF1	TRED	Homo sapiens	
UBE2I	ATF1	TRED	Homo sapiens	
UGT8	ATF1	pazar	Homo sapiens;	;
YY1	ATF1	TRED	Mus musculus	
APOC3	ATF2	TRED	Homo sapiens	
ATF2	ATF2	TRED	Homo sapiens	
BARX2	ATF2	TRED	Mus musculus	
CCNA1	ATF2	trrd;TRED	Homo sapiens	
CCND1	ATF2	TRED	Homo sapiens	
CDKN1A	ATF2	TRED	Homo sapiens	
CGA	ATF2	TRED	Homo sapiens	
CYP11B1	ATF2	trrd;TRED	Homo sapiens	
CYP11B2	ATF2	TRED	Homo sapiens	
FN1	ATF2	TRED	Rattus norvegicus	
FOS	ATF2	TRED	Mus musculus	
HFE	ATF2	TRED	Homo sapiens	
HLA-E	ATF2	TRED	Homo sapiens	
HLA-F	ATF2	TRED	Homo sapiens	
HLA-G	ATF2	TRED	Homo sapiens	
HSPA5	ATF2	TRED	Rattus norvegicus	
IFNB1	ATF2	trrd;TRED	Homo sapiens	
IFNG	ATF2	trrd;TRED	Homo sapiens	
IMPDH2	ATF2	TRED	Homo sapiens	
INS	ATF2	TRED	Homo sapiens	
JUN	ATF2	TRED	Homo sapiens	
NT5E	ATF2	TRED	Homo sapiens	
PCK1	ATF2	TRED	Homo sapiens	
PENK	ATF2	TRED	Homo sapiens	
PLAT	ATF2	trrd;TRED	Homo sapiens	
PLAU	ATF2	TRED	Mus musculus	
PTGS2	ATF2	TRED	Homo sapiens	
RB1	ATF2	TRED	Homo sapiens	
RB1CC1	ATF2	Pazar	Homo sapiens	
RHOB	ATF2	TRED	Mus musculus	
SELE	ATF2	trrd;TRED	Homo sapiens	
SST	ATF2	TRED	Rattus norvegicus	
TGFB2	ATF2	TRED	Homo sapiens	
TH	ATF2	TRED	Rattus norvegicus	
TNF	ATF2	trrd;TRED	Homo sapiens;Mus musculus	
VIP	ATF2	TRED	Homo sapiens	
YY1	ATF2	TRED	Mus musculus	
ASNS	ATF3	TRED	Homo sapiens	
CCL5	ATF3	TRED	Homo sapiens	
CCNA1	ATF3	TRED	Homo sapiens	
CD69	ATF3	TRED	Homo sapiens	
CGA	ATF3	TRED	Homo sapiens	
FN1	ATF3	TRED	Rattus norvegicus	
GCLC	ATF3	Pubmed	Homo sapiens	15629866;
PENK	ATF3	TRED	Homo sapiens	
SELE	ATF3	trrd;TRED	Homo sapiens	
SST	ATF3	TRED	Rattus norvegicus	
TGFB2	ATF3	TRED	Homo sapiens	
ASNS	ATF4	TRED	Homo sapiens	
CGA	ATF4	TRED	Homo sapiens	
CHGB	ATF4	TRED	Mus musculus	
CXCR5	ATF4	TRED	Homo sapiens	
CYCS	ATF4	TRED	Rattus norvegicus	
DDIT3	ATF4	TRED	Mus musculus	
DISC1	ATF4	TRED	Homo sapiens	
HMOX1	ATF4	TRED	Mus musculus	
HPGD	ATF4	TRED	Homo sapiens	
HSPA5	ATF4	TRED	Mus musculus	
NFE2L2	ATF4	TRED	Mus musculus	
PPP1R15A	ATF4	TRED	Homo sapiens	
PTGS2	ATF4	TRED	Homo sapiens	
SDC1	ATF4	TRED	Mus musculus	
SST	ATF4	TRED	Rattus norvegicus	
SYN1	ATF4	TRED	Mus musculus	
TH	ATF4	TRED	Rattus norvegicus	
VIP	ATF4	TRED	Homo sapiens	
DISC1	ATF5	TRED	Homo sapiens	
ATP2A2	ATF6	TRED	Rattus norvegicus	
CALR	ATF6	Pubmed	Homo sapiens	19659458;
HSP90B1	ATF6	Pubmed	Homo sapiens;	9837962;
HSPA5	ATF6	Pubmed	Mus musculus	16452489;
SEL1L	ATF6	Pubmed	Homo sapiens;	17967421;
SERP1	ATF6	Pubmed	Mus musculus;	14559994;
XBP1	ATF6	trrd;TRED	Homo sapiens	
MYB	BCL3	TRED	Homo sapiens	
NFKB1	BCL3	TRED	Homo sapiens	
NFKB2	BCL3	TRED	Homo sapiens	
PSD	BCL3	TRED	Mus musculus	
ADH6	BCL6	TRED	Homo sapiens	
BCL2L1	BCL6	Pubmed	Mus musculus;	11777915;
BCL6	BCL6	TRED	Homo sapiens	
CCL2	BCL6	TRED	Mus musculus	
CCL6	BCL6	TRED	Mus musculus	
CCL7	BCL6	TRED	Mus musculus	
HDAC4	BCL6	TRED	Homo sapiens	
IL18	BCL6	TRED	Mus musculus	
IL5	BCL6	TRED	Mus musculus	
NFKB1	BCL6	TRED	Homo sapiens	
BARD1	BRCA1	Pubmed	Homo sapiens	20068145;
BCL2	BRCA1	TRED	Homo sapiens	
BRCA1	BRCA1	Pubmed	Homo sapiens	20068145;
DDB2	BRCA1	TRED	Homo sapiens	
ESR1	BRCA1	TRED	Homo sapiens	
ETS1	BRCA1	TRED	Homo sapiens	
GADD45A	BRCA1	TRED	Homo sapiens	
IGF1R	BRCA1	TRED	Homo sapiens	
PCNA	BRCA1	TRED	Homo sapiens	
STAT3	BRCA1	TRED	Homo sapiens	
ESR1	BRCA2	TRED	Homo sapiens	
AFP	CBX1	pazar	Mus musculus	
HTR1A	CC2D1A	pazar	Homo sapiens;	pazar_pleiades_20100814;
CDC25A	CDKN1A	Pubmed	Homo sapiens	16923815;
DNMT1	CDKN1A	Pubmed	Homo sapiens	19275888;
MYC	CDKN1A	Pubmed	Homo sapiens	16923815;
FANCD2	CDKN2A	Pubmed	Homo sapiens	18438432;
ADA	CDX1	NfiRegulomeDB	Homo sapiens	
CLDN2	CDX1	Pubmed	Homo sapiens	11934881;
PPARG	CDX1	Pubmed	Homo sapiens	19059241;
CA1	CDX2	pazar	Homo sapiens	
CDKN1A	CDX2	pazar	Homo sapiens	
CLDN2	CDX2	Pubmed	Homo sapiens	11934881;
GUCY2C	CDX2	pazar	Homo sapiens	
HBEGF	CDX2	pazar	Rattus norvegicus	
LCT	CDX2	trrd;	Homo sapiens;	S10098;
NOX1	CDX2	pazar	Homo sapiens	
SI	CDX2	Pubmed	Mus musculus	12060663;
UGT2B7	CDX2	pazar	Homo sapiens	
ABCA3	CEBPA	Pubmed	Homo sapiens; Mus musculus	17890326;
ABCB1B	CEBPA	pazar	Mus musculus	
ABCB1	CEBPA	pazar;TRED	Homo sapiens	
ACACA	CEBPA	TRED	Homo sapiens	
ADH1A	CEBPA	pazar	Mus musculus	
ADH1B	CEBPA	Pubmed	Homo sapiens	1620113;
ADH1C	CEBPA	pazar	Homo sapiens	
ADH7	CEBPA	TRED	Homo sapiens	
ADIPOQ	CEBPA	TRED	Mus musculus	
AFP	CEBPA	NFIRegulomeDB;	Rattus norvegicus	;
AKR1B7	CEBPA	TRED	Mus musculus	
ALB	CEBPA	Pubmed	Homo sapiens;Homo sapiens	8288579;
ALOX5AP	CEBPA	TRED	Homo sapiens	
AMELX	CEBPA	Pubmed	Mus musculus;Mus musculus	10766866; 16595692; 16674681; 10859305;
APOA1	CEBPA	pazar	Homo sapiens	
APOB	CEBPA	Pubmed	Homo sapiens;Homo sapiens	9921275; 8344962;
APOC3	CEBPA	pazar	Homo sapiens	
ARG1	CEBPA	TRED	Rattus norvegicus	
BCL2	CEBPA	Pubmed	Homo sapiens;Mus musculus	18987666;
CCL3	CEBPA	TRED	Mus musculus	
CCL5	CEBPA	TRED	Homo sapiens	
CCNB2	CEBPA	TRED	Mus musculus	
CCR2	CEBPA	TRED	Homo sapiens	
CDKN1A	CEBPA	Pubmed	Homo sapiens;Homo sapiens	8846917;
CDKN1B	CEBPA	TRED	Homo sapiens	
CEBPA	CEBPA	Pubmed	Mus musculus	19380823;
CEL	CEBPA	TRED	Homo sapiens	
CFLAR	CEBPA	Pubmed	Mus musculus	18987666;
CFTR	CEBPA	TRED	Homo sapiens	
CLU	CEBPA	NfiRegulomeDB	Mus musculus	
COL2A1	CEBPA	Pubmed	Mus musculus;Rattus norvegicus	18438857;
CRMP1	CEBPA	Pubmed	Homo sapiens	18524846;
CSRP1	CEBPA	TRED	Homo sapiens	
CSRP2	CEBPA	TRED	Mus musculus	
CYBB	CEBPA	TRED	Homo sapiens	
CYP7A1	CEBPA	pazar	Rattus norvegicus	
DEFA3	CEBPA	TRED	Homo sapiens	
ELANE	CEBPA	TRED	Mus musculus	
F8	CEBPA	TRED	Homo sapiens	
FABP2	CEBPA	TRED	Rattus norvegicus	
FABP4	CEBPA	NFIRegulomeDB;	Mus musculus;	;
FAS	CEBPA	TRED	Homo sapiens	
FDPS	CEBPA	TRED	Homo sapiens	
FGA	CEBPA	TRED	Homo sapiens	
FOXA2	CEBPA	Pubmed	Homo sapiens Mus musculus	15205324;
G6PC	CEBPA	pazar	Rattus norvegicus	
GADD45A	CEBPA	TRED	Homo sapiens	
GLS2	CEBPA	Pubmed	Homo sapiens	12444921;
GOT1	CEBPA	TRED	Rattus norvegicus	
GPX4	CEBPA	TRED	Homo sapiens	
GSK3B	CEBPA	TRED	Homo sapiens	
GUCY2C	CEBPA	TRED	Homo sapiens	
H2AFX	CEBPA	TRED	Mus musculus	
HLA-DOA	CEBPA	TRED	Homo sapiens	
HMGB1	CEBPA	TRED	Homo sapiens	
HNF4A	CEBPA	Pubmed	Mus musculus	11522818;
HP	CEBPA	Pubmed	Homo sapiens;Rattus norvegicus; Homo sapiens	16172914; 12074569;
HPX	CEBPA	TRED	Homo sapiens	
HSD11B1	CEBPA	Pubmed	Homo sapiens	19088256;
IGF1	CEBPA	Pubmed	Homo sapiens;Homo sapiens	7708053;
IGF2	CEBPA	Pubmed	Homo sapiens;Homo sapiens	7659086;
IL10	CEBPA	pazar;TRED	Homo sapiens; Mus musculus	
IL12B	CEBPA	pazar	Homo sapiens	
IL3	CEBPA	TRED	Homo sapiens	
IL4	CEBPA	Pubmed	Mus musculus;Rattus norvegicus; mus musuclus	21454593;
IL5	CEBPA	TRED	Homo sapiens	
IL6	CEBPA	TRED	Mus musculus	
IL8	CEBPA	TRED	Homo sapiens	
ITGA2	CEBPA	TRED	Homo sapiens	
ITGA5	CEBPA	TRED	Homo sapiens	
ITGAL	CEBPA	TRED	Homo sapiens	
ITGAX	CEBPA	Pubmed	Homo sapiens;Homo sapiens	12935984;
IVL	CEBPA	TRED	Homo sapiens	
LEP	CEBPA	pazar;TRED	Homo sapiens; Mus musculus	
LPIN1	CEBPA	Pubmed	Mus musculus	18930917;
LPL	CEBPA	pazar	Homo sapiens	
MMP11	CEBPA	TRED	Homo sapiens	
MSR1	CEBPA	TRED	Homo sapiens	
MT1A	CEBPA	TRED	Rattus norvegicus	
MYBL1	CEBPA	TRED	Homo sapiens	
MYST2	CEBPA	TRED	Homo sapiens	
NFKB1	CEBPA	Pubmed	Mus musculus	19380823;
NFYA	CEBPA	TRED	Homo sapiens	
NFYB	CEBPA	TRED	Homo sapiens	
NFYC	CEBPA	TRED	Homo sapiens	
NOS2	CEBPA	TRED	Homo sapiens	
NR1H3	CEBPA	TRED	Mus musculus	
ORM1	CEBPA	TRED	Mus musculus	
ORM2	CEBPA	TRED	Mus musculus	
PCK1	CEBPA	TRED	Homo sapiens	
PCK2	CEBPA	TRED	Homo sapiens	
PPARG	CEBPA	Pubmed	Mus musculus; Homo sapiens	15632071; 16580992; 19059241;
PTGS2	CEBPA	Pubmed	Rattus norvegicus;Mus musculus	20506344;
RB1	CEBPA	TRED	Homo sapiens	
RETN	CEBPA	Pubmed	Mus musculus;Mus musculus; Homo sapiens	11901161; 12730330; 19126543;
RHOB	CEBPA	TRED	Mus musculus	
SAA1	CEBPA	Pubmed	Homo sapiens;Homo sapiens	12410800;
SAA3	CEBPA	TRED	Mus musculus	
SCD	CEBPA	Pubmed	Mus musculus; Homo sapiens	7480063; 11414710;
SCGB1A1	CEBPA	Pubmed	Mus musculus;Mus musculus; Homo sapiens	12161423; 11193754;
SERPINC1	CEBPA	TRED	Homo sapiens	
SFTPD	CEBPA	TRED	Homo sapiens	
SLC2A2	CEBPA	TRED	Rattus norvegicus	
SLC2A4	CEBPA	Pubmed	Mus musculus;Mus musculus	12641495;
SPIN2A	CEBPA	TRED	Rattus norvegicus	
SREBF2	CEBPA	TRED	Homo sapiens	
SST	CEBPA	TRED	Rattus norvegicus	
STAR	CEBPA	TRED	Homo sapiens	
TF	CEBPA	TRED	Mus musculus	
TGFB1	CEBPA	TRED	Homo sapiens	
THRSP	CEBPA	TRED	Rattus norvegicus	
TIMP2	CEBPA	TRED	Homo sapiens	
TK1	CEBPA	TRED	Homo sapiens	
TRIM26	CEBPA	TRED	Homo sapiens	
TTR	CEBPA	pazar	Mus musculus	
TWF2	CEBPA	TRED	Homo sapiens	
UCP1	CEBPA	Pubmed	Rattus norvegicus;Mus musculus	15762841;
UHRF1	CEBPA	TRED	Homo sapiens	
VIP	CEBPA	pazar	Homo sapiens;	;
ABCB1	CEBPB	Pubmed	Homo sapiens	9040943;
ADH1A	CEBPB	Pubmed	Homo sapiens	1620113;
ADH1B	CEBPB	Pubmed	Homo sapiens	1620113;
ADH1C	CEBPB	Pubmed	Homo sapiens	1620113;
AFP	CEBPB	TRED	Homo sapiens	
ALB	CEBPB	TRED	Homo sapiens	
C1QTNF3	CEBPB	pazar	Homo sapiens	
CCL3	CEBPB	TRED	Mus musculus	
CCL5	CEBPB	TRED	Homo sapiens	
CEBPA	CEBPB	Pubmed	Mus musculus	19663997;
CELF1	CEBPB	TRED	Homo sapiens	
CSRP1	CEBPB	TRED	Homo sapiens	
CYP19A1	CEBPB	TRED	Homo sapiens	
CYP7A1	CEBPB	TRED	Rattus norvegicus	
DLC1	CEBPB	TRED	Homo sapiens	
EBF1	CEBPB	Pubmed	Mus musculus	17060461;
F8	CEBPB	TRED	Homo sapiens	
FASLG	CEBPB	pazar	Homo sapiens	
FOS	CEBPB	TRED	Homo sapiens	
HP	CEBPB	Pubmed	Homo sapiens;Rattus norvegicus	16172914;
HPX	CEBPB	TRED	Homo sapiens	
HSD11B1	CEBPB	Pubmed	Homo sapiens	19088256;
ICAM1	CEBPB	TRED	Homo sapiens	
ID2	CEBPB	pazar	Mus musculus	
IGF1	CEBPB	Pubmed	Homo sapiens	7708053;
IGF2	CEBPB	Pubmed	Homo sapiens;Homo sapiens	7659086;
IGHG1	CEBPB	TRED	Mus musculus	
IGHG3	CEBPB	TRED	Homo sapiens	
IL10	CEBPB	TRED	Homo sapiens	
IL12B	CEBPB	TRED	Homo sapiens	
IL1A	CEBPB	TRED	Homo sapiens	
IL1B	CEBPB	trrd;TRED	Homo sapiens	
IL24	CEBPB	TRED	Homo sapiens	
IL3	CEBPB	TRED	Homo sapiens	
IL4	CEBPB	TRED	Homo sapiens	
IL5	CEBPB	TRED	Homo sapiens	
IL6	CEBPB	trrd;TRED	Homo sapiens	
IL8	CEBPB	trrd;TRED	Homo sapiens	
INSR	CEBPB	TRED	Homo sapiens	
MEFV	CEBPB	TRED	Homo sapiens	
MET	CEBPB	TRED	Mus musculus	
MIA	CEBPB	TRED	Homo sapiens	
NEUROD6	CEBPB	pazar	Rattus norvegicus	
NFKB1	CEBPB	TRED	Homo sapiens	
ORM1	CEBPB	TRED	Mus musculus	
PCK1	CEBPB	TRED	Mus musculus	
POU5F1	CEBPB	TRED	Homo sapiens	
PRG2	CEBPB	TRED	Homo sapiens	
PRL	CEBPB	trrd;TRED	Homo sapiens	
PTGS2	CEBPB	Pubmed	Homo sapiens Mus musculus	11278846; 20506344;
RETN	CEBPB	Pubmed	Mus musculus	19126543;
SAA1	CEBPB	Pubmed	Homo sapiens;Homo sapiens	12410800;
SAA2	CEBPB	TRED	Homo sapiens	
SAA3	CEBPB	TRED	Mus musculus	
SCGB1A1	CEBPB	TRED	Mus musculus	
SFTPD	CEBPB	TRED	Homo sapiens	
SLC10A1	CEBPB	Pubmed	Homo sapiens; Mus musculus	14701722;
SLC2A2	CEBPB	TRED	Rattus norvegicus	
SMAD3	CEBPB	TRED	Homo sapiens	
SMAD4	CEBPB	TRED	Homo sapiens	
SST	CEBPB	TRED	Rattus norvegicus	
ST6GAL1	CEBPB	Pubmed	Homo sapiens	1737800;
TGFB1	CEBPB	TRED	Homo sapiens	
TNFAIP6	CEBPB	TRED	Homo sapiens	
TNF	CEBPB	TRED	Homo sapiens	
TOP1	CEBPB	TRED	Homo sapiens	
TP53	CEBPB	TRED	Mus musculus	
TRIM26	CEBPB	TRED	Homo sapiens	
UCP1	CEBPB	Pubmed	Rattus norvegicus;Mus musculus	15762841;
UGT1A10	CEBPB	TRED	Homo sapiens	
VIP	CEBPB	pazar	Homo sapiens	
ALOX5AP	CEBPD	TRED	Homo sapiens	
C3	CEBPD	TRED	Homo sapiens	
CCL5	CEBPD	TRED	Homo sapiens	
CFTR	CEBPD	TRED	Homo sapiens	
CSRP1	CEBPD	TRED	Homo sapiens	
CYP19A1	CEBPD	TRED	Homo sapiens	
EBF1	CEBPD	Pubmed	Mus musculus	17060461;
HPX	CEBPD	TRED	Homo sapiens	
IGF1	CEBPD	TRED	Rattus norvegicus	
IL1A	CEBPD	TRED	Homo sapiens	
IL1B	CEBPD	TRED	Homo sapiens	
IL6	CEBPD	TRED	Homo sapiens	
MIA	CEBPD	TRED	Homo sapiens	
MT1A	CEBPD	NFIRegulomeDB;	Mus musculus;	;
PDGFRA	CEBPD	TRED	Rattus norvegicus	
POU5F1	CEBPD	TRED	Homo sapiens	
PTGS2	CEBPD	Pubmed	Mus musculus;Mus musculus	;20506344
SAA3	CEBPD	TRED	Mus musculus	
SCGB1A1	CEBPD	TRED	Mus musculus	
SFTPD	CEBPD	TRED	Homo sapiens	
TNF	CEBPD	TRED	Homo sapiens	
UCP1	CEBPD	Pubmed	Mus musculus	;15762841
VIP	CEBPD	pazar	Homo sapiens	
ALOX5AP	CEBPE	TRED	Homo sapiens	
GATA1	CEBPE	TRED	Homo sapiens	
LTF	CEBPE	TRED	Homo sapiens	
MYB	CEBPE	TRED	Homo sapiens	
MYC	CEBPE	TRED	Homo sapiens	
NOL3	CEBPE	TRED	Homo sapiens	
SPI1	CEBPE	TRED	Homo sapiens	
SST	CEBPE	TRED	Rattus norvegicus	
CSF3	CEBPG	TRED	Mus musculus	
IL10	CEBPG	TRED	Mus musculus	
IL6	CEBPG	TRED	Mus musculus	
LOX	CEBPG	NFIRegulomeDB;	Rattus norvegicus	;
RETN	CEBPG	TRED	Mus musculus	
SFTPD	CEBPG	TRED	Homo sapiens	
SST	CEBPG	TRED	Rattus norvegicus	
MMP9	CITED2	Pubmed	Mus musculus	;16619037
AANAT	CREB1	trrd;	Rattus norvegicus	S7777;
ACHE	CREB1	TRED	Homo sapiens	
ADCY8	CREB1	TRED	Mus musculus	
ADM	CREB1	Pubmed	Mus musculus;	;14973073
ADORA2A	CREB1	pazar_pleiades_20100814;pazar;;;;;	Rattus norvegicus	
ADRA1A	CREB1	TRED	Homo sapiens	
ADRA1B	CREB1	TRED	Rattus norvegicus	
ADRB2	CREB1	TRED	Homo sapiens	
AKAP8L	CREB1	Pubmed	Mus musculus;	;14973073
AKP3	CREB1	trrd;	Rattus norvegicus	S9605;
ALDH3A1	CREB1	TRED	Rattus norvegicus	
ANGPTL2	CREB1	Pubmed	Mus musculus;	;14973073
ANXA1	CREB1	TRED	Mus musculus	
AQP3	CREB1	TRED	Homo sapiens	
ARG1	CREB1	TRED	Homo sapiens	
ARPC3	CREB1	Pubmed	Mus musculus;	;14973073
ATF5	CREB1	Pubmed	Mus musculus;	;14973073
ATP1A1	CREB1	trrd;TRED	Rattus norvegicus; Homo sapiens	
ATP6V0B	CREB1	Pubmed	Mus musculus;	;14973073
ATP6V1C1	CREB1	Pubmed	Mus musculus;	;14973073
BARX2	CREB1	TRED	Mus musculus	
BCL2	CREB1	TRED	Mus musculus	
BDNF	CREB1	TRED	Rattus norvegicus	
BRCA1	CREB1	TRED	Homo sapiens	
CACNA1S	CREB1	trrd;	Mus musculus;	S10594;
CALCA	CREB1	TRED	Homo sapiens	
CARS	CREB1	Pubmed	Mus musculus;	;14973073
CARTPT	CREB1	pazar	Mus musculus	
CCL5	CREB1	TRED	Homo sapiens	
CCNA1	CREB1	trrd;TRED	Homo sapiens	
CCND1	CREB1	TRED	Homo sapiens	
CCRN4L	CREB1	trrd	Xl	S9486
CD3D	CREB1	TRED	Mus musculus	
CD4	CREB1	trrd;	Homo sapiens;	S7640;
CD55	CREB1	TRED	Homo sapiens	
CD68	CREB1	pazar_pleiades_20100814;pazar;;;;;	Mus musculus;Mus musculus;;;;	
CD8A	CREB1	TRED	Homo sapiens	
CDC2L2	CREB1	TRED	Homo sapiens	
CDK11A	CREB1	Pubmed	Homo sapiens	;15087126
CFTR	CREB1	TRED	Homo sapiens	
CGA	CREB1	trrd;	Mus musculus;	S6375;
CHGA	CREB1	trrd;TRED	Homo sapiens	
CIITA	CREB1	TRED	Homo sapiens	
COMT	CREB1	TRED	Rattus norvegicus	
CPD	CREB1	Pubmed	Mus musculus;	;14973073
CREB1	CREB1	trrd;	Homo sapiens;	S10596;
CRH	CREB1	pazar	Homo sapiens	
CRYAA	CREB1	trrd;TRED	Mus musculus	
CSRP2	CREB1	Pubmed	Mus musculus;	;14973073
CTF1	CREB1	TRED	Mus musculus	
CXCR4	CREB1	TRED	Homo sapiens	
CYP11A1	CREB1	trrd;TRED	Homo sapiens	
CYP11B1	CREB1	TRED	Homo sapiens	
CYP11B2	CREB1	trrd;TRED	Homo sapiens	
CYP19A1	CREB1	trrd;	Rattus norvegicus	S3297;
CYR61	CREB1	Pubmed	Mus musculus;	;14973073
